시간,규모,진앙(km),위도,경도,위치
1991-07-23 23:08,3.1, ,35.6,128,경남 합천군 서북서쪽 16km 지역
1991-08-10 8:26,2.7, ,36.5,129.7,경북 영덕군 동북동쪽 31km 해역
1991-10-11 7:20,3.2, ,36.8,129.3,경북 울진군 남남서쪽 23km 지역
1991-10-16 4:59,2.8, ,35.6,129.6,울산 동구 동북동쪽 20km 해역
1991-10-30 0:57,2.2, ,38.5,127.2,북한 강원 평강 북서쪽 13km 지역
1992-01-15 21:26,2, ,36,127.3,전북 완주군 북동쪽 22km 지역
1992-01-21 3:36,4, ,35.4,129.9,울산 동구 동남동쪽 45km 해역
1992-04-09 5:32,2.9, ,36.2,127.2,충남 논산시 동북동쪽 9km 지역
1992-05-04 17:06,2.6, ,35.8,128.4,경북 고령군 북동쪽 15km 지역
1992-07-17 8:16,2.5, ,37.1,126.1,충남 태안군 북북서쪽 44km 해역
1992-07-19 17:01,3.1, ,39.1,127.1,북한 강원 원산 서남서쪽 29km 지역
1992-09-05 0:22,2.7, ,37,126.8,경기 평택시 서쪽 28km 지역
1992-10-20 10:34,2.6, ,36,128.2,경북 성주군 북서쪽 12km 지역
1992-11-04 2:30,4.4, ,34.7,122.8,전남 신안군 흑산면 서쪽 244km 해역
1992-11-11 9:32,3.4, ,35.8,123.7,충남 태안군 서격렬비열도 서남서쪽 187km 해역
1992-11-12 8:02,3.8, ,38.5,125.4,북한 황해남도 안악 서쪽 8km 지역
1992-11-13 2:47,3.4, ,38.4,125.3,북한 황해남도 안악 남서쪽 21km 지역
1992-11-25 18:45,2.6, ,37.7,126.4,인천 강화군 서남서쪽 9km 지역
1992-12-13 20:22,4, ,35.3,130.1,울산 동구 동남동쪽 66km 해역
1992-12-16 10:28,2.1, ,38.1,128.3,강원 인제군 동북동쪽 12km 지역
1993-01-31 15:31,3.1, ,41.1,125.7,북한 자강도 초산 북북서쪽 32km 지역
1993-02-08 10:04,2.1, ,38.7,127.8,북한 강원 회양 동쪽 17km 지역
1993-02-25 10:15,2.9, ,35.6,126.4,전북 고창군 북서쪽 33km 해역
1993-03-01 11:59,3.3, ,35.6,126.9,전북 정읍시 북동쪽 5km 지역
1993-03-01 12:00,3.9, ,35.6,126.8,전북 정읍시 북서쪽 6km 지역
1993-03-11 6:55,2.8, ,37.5,124.8,인천 백령도 남남동쪽 51km 해역
1993-03-17 0:36,2.6, ,36.6,129.9,경북 영덕군 동북동쪽 52km 해역
1993-03-18 0:36,2.8, ,36.4,130,경북 영덕군 동쪽 57km 해역
1993-03-28 10:16,4.5, ,33.1,123.8,전남 신안군 흑산면 남서쪽 231km 해역
1993-04-02 1:20,2.2, ,35.2,128.3,경남 진주시 동쪽 20km 지역
1993-04-08 12:01,2.9, ,34.9,130.6,울산 동구 동남동쪽 126km 해역
1993-04-09 2:28,2.2, ,36.6,126.9,충남 예산군 남동쪽 11km 지역
1993-04-16 18:32,2.2, ,36.5,128.3,경북 예천군 남서쪽 22km 지역
1993-05-02 17:57,2.9, ,37.3,130.5,경북 울릉군 울릉도 서남서쪽 41km 해역
1993-06-08 17:42,2.2, ,38.7,126.7,북한 황해북도 신계 북북동쪽 27km 지역
1993-06-12 16:03,2.7, ,37.5,125.5,인천 옹진군 연평도 남서쪽 26km 해역
1993-07-08 11:10,3.6, ,35.2,128.4,경남 창원시 서쪽 26km 지역
1993-07-14 11:48,2.6, ,38.8,125.7,북한 황해북도 송림 북동쪽 9km 지역
1993-08-26 0:07,2.9, ,35.7,127.9,경남 거창군 북북서쪽 2km 지역
1993-12-08 11:43,3.4, ,39.6,125.9,북한 평안남도 개천 남쪽 11km 지역
1993-12-24 8:13,3.1, ,35.9,129.1,경북 경주시 북서쪽 12km 지역
1993-12-30 9:58,2.6, ,38.5,127.6,북한 강원 회양 남쪽 23km 지역
1994-01-11 8:09,3, ,36.3,123.9,충남 태안군 서격렬비열도 서남서쪽 150km 해역
1994-01-24 15:47,2.3, ,38.4,126.4,북한 황해북도 평산 북쪽 8km 지역
